0	0	244
0	2	552
0	6	96
0	8	1246
0	12	612
0	14	502
0	15	22
0	17	510
0	18	543
0	21	1470
0	24	641
0	27	680
0	31	1452
0	41	705
0	42	234
0	44	1121
0	45	282
0	47	210
0	49	97
0	51	386
0	54	226
0	56	526
0	57	101
0	58	317
0	65	517
0	67	646
0	74	1421
0	76	464
0	78	448
0	86	584
0	87	505
0	88	32
0	92	1133
0	94	236
0	105	653
0	108	338
0	110	327
0	114	797
0	118	388
0	122	63
0	123	437
0	126	748
0	132	1336
0	134	492
0	136	676
0	143	1565
0	145	272
0	151	883
0	155	484
0	161	394
0	164	1473
0	165	226
0	167	604
0	168	323
0	171	1330
0	172	717
0	175	934
0	177	332
0	180	529
0	181	232
0	186	731
0	190	611
0	191	156
0	193	418
0	194	1258
0	196	519
0	197	261
0	198	98
0	202	802
0	203	439
0	206	466
0	215	85
0	222	504
0	233	664
0	237	257
0	238	552
0	245	521
0	248	572
0	250	500
0	255	207
0	256	232
0	267	728
0	268	358
0	269	434
1	0	45
1	13	1279
1	24	518
1	99	84
1	110	182
1	126	1022
1	236	361
1	241	400
1	254	946
1	268	443
1	271	1075
1	272	717
1	274	662
1	275	445
1	276	143
1	281	766
1	282	191
1	283	1188
1	284	71
1	285	487
1	292	190
1	294	78
1	299	631
1	301	389
1	303	184
1	305	591
1	309	1471
1	310	196
2	180	78
2	259	1158
2	319	156
2	320	484
2	328	355
2	339	1232
2	341	473
2	343	706
2	345	215
2	346	583
3	10	256
3	257	3
3	270	1605
3	299	592
3	300	133
3	323	659
3	326	611
3	328	526
3	358	254
3	359	12
3	361	600
4	28	305
4	49	1183
4	69	48
4	94	484
4	100	257
4	120	42
4	134	505
4	162	886
4	168	305
4	171	115
4	173	229
4	180	57
4	182	1049
4	185	1233
4	188	198
4	193	174
4	203	498
4	207	493
4	227	1677
4	232	498
4	234	268
4	238	666
4	256	526
4	389	332
4	395	374
4	400	650
4	407	707
4	429	1006
4	431	1122
4	433	11
4	442	625
4	445	451
4	454	748
5	0	228
5	7	179
5	8	341
5	11	654
5	49	948
5	63	565
5	70	135
5	88	238
5	126	124
5	131	41
5	136	213
5	152	186
5	164	1070
5	165	616
5	167	551
5	168	269
5	169	210
5	172	351
5	173	283
5	176	247
5	177	234
5	181	557
5	184	1434
5	185	197
5	190	658
5	191	1574
5	193	2
5	215	893
5	222	1313
5	241	303
5	271	45
5	273	670
5	301	233
5	305	606
5	407	268
5	409	576
5	418	346
5	426	1410
5	434	303
5	460	76
5	461	1464
5	473	309
5	481	298
5	484	1015
5	488	556
5	489	1121
5	490	400
5	492	446
5	493	1452
5	494	1140
5	495	402
5	496	401
5	500	345
5	501	605
5	504	221
5	506	22
5	509	1419
5	511	662
5	513	1187
5	515	444
5	518	204
5	519	657
5	521	216
5	526	87
5	528	233
5	529	573
5	530	45
5	532	156
5	535	477
5	536	1537
6	3	909
6	8	6
6	11	962
6	26	194
6	30	1510
6	38	165
6	46	309
6	49	961
6	51	921
6	55	1652
6	63	1093
6	67	227
6	68	222
6	70	461
6	76	327
6	79	244
6	85	1635
6	95	272
6	96	273
6	97	361
6	98	700
6	99	206
6	124	1300
6	131	491
6	133	569
6	134	176
6	139	361
6	140	766
6	143	348
6	151	1007
6	156	277
6	163	1212
6	172	1360
6	174	57
6	177	86
6	178	319
6	179	482
6	185	1325
6	186	146
6	191	1119
6	193	165
6	196	268
6	198	466
6	203	1037
6	210	569
6	213	227
6	214	910
6	215	34
6	216	44
6	233	275
6	236	171
6	237	256
6	257	194
6	264	1668
6	274	332
6	285	400
6	316	333
6	317	169
6	355	17
6	356	120
6	364	284
6	366	161
6	378	277
6	379	1538
6	385	628
6	401	109
6	402	169
6	415	44
6	426	114
6	428	319
6	432	81
6	433	256
6	435	511
6	442	521
6	443	221
6	446	628
6	451	361
6	462	799
6	464	54
6	473	320
6	487	341
6	498	1022
6	501	298
6	502	184
6	505	160
6	506	1358
6	508	1604
6	509	581
6	512	17
6	520	41
6	522	188
6	526	783
6	545	1310
6	548	778
6	551	250
6	556	788
6	557	601
6	560	361
6	564	1058
6	565	154
6	567	1248
6	568	102
6	572	272
6	573	653
6	583	469
6	584	529
6	587	371
6	591	184
6	592	536
6	595	1242
6	599	484
6	600	778
6	602	195
6	604	14
6	609	188
6	611	1336
6	612	341
6	614	483
6	615	985
6	616	763
6	619	541
6	630	165
6	631	245
6	633	1173
6	637	1329
6	638	293
6	640	146
6	645	1517
6	648	41
6	650	167
6	654	1181
6	659	241
6	662	18
6	664	1212
6	665	961
6	667	500
6	669	1336
6	670	123
6	678	118
7	54	572
7	81	491
7	173	1496
7	176	501
7	180	174
7	186	237
7	194	488
7	221	8
7	226	521
7	227	1151
7	228	97
7	232	962
7	240	1442
